direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
long,2024-12-16 15:01:00+00:00,2661.25,2024-12-16 16:19:00+00:00,2658.2614285714285,stop_loss,13.29676909621823,-44.68960627519891,4.951262061928578,2.988571428571504,False
short,2024-12-17 14:31:00+00:00,2643.35,2024-12-17 14:41:00+00:00,2644.6749999999997,stop_loss,29.822563156150764,-50.554068349260625,11.039172167366289,1.324999999999818,False
long,2024-12-18 09:18:00+00:00,2646.66,2024-12-18 09:32:00+00:00,2644.2185714285715,stop_loss,16.073847135580532,-45.19628378548208,5.953134135904309,2.4414285714283324,False
short,2024-12-18 08:45:00+00:00,2645.44,2024-12-18 10:20:00+00:00,2645.44,stop_be,20.494771132067854,12.041960866371964,7.589102053702056,1.91571428571433,True
long,2024-12-23 12:21:00+00:00,2623.59,2024-12-23 12:31:00+00:00,2622.0714285714284,stop_loss,25.74548255680318,-48.55000016212515,9.453645936572666,1.518571428571704,False
long,2024-12-24 10:53:00+00:00,2617.47,2024-12-24 11:12:00+00:00,2616.139285714286,stop_loss,29.197555509746046,-49.55020605925943,10.696601834517564,1.3307142857138388,False
short,2024-12-24 14:22:00+00:00,2615.61,2024-12-24 14:55:00+00:00,2613.314285714286,full_2r,33.63297726958985,45.596928171598094,12.311851620070252,1.1478571428569921,True
long,2025-01-02 07:56:00+00:00,2634.24,2025-01-02 08:00:00+00:00,2633.5285714285715,stop_loss,54.58571583277573,-58.96198211720143,20.128144281897885,0.7114285714283142,False
long,2025-01-02 15:03:00+00:00,2641.76,2025-01-02 15:13:00+00:00,2639.802142857143,stop_loss,19.684290074643442,-45.81649401342541,7.277466088707878,1.9578571428573923,False
long,2025-01-03 07:31:00+00:00,2660.18,2025-01-03 07:34:00+00:00,2659.262857142857,stop_loss,41.77096856425123,-53.86382508020357,15.553879625553147,0.9171428571430624,False
short,2025-01-06 10:05:00+00:00,2626.9,2025-01-06 10:21:00+00:00,2629.0007142857144,stop_loss,18.108424638201097,-44.702952068585105,6.662325739335712,2.1007142857142753,False
long,2025-01-08 09:01:00+00:00,2652.36,2025-01-08 09:26:00+00:00,2652.36,stop_be,36.8690502760865,5.216632998909018,13.691922785544222,1.0257142857144572,True
long,2025-01-10 10:54:00+00:00,2677.21,2025-01-10 11:25:00+00:00,2680.88,full_2r,20.622994405395243,49.03112640611492,7.733665694736606,1.8350000000000364,True
long,2025-01-14 07:09:00+00:00,2672.74,2025-01-14 07:31:00+00:00,2670.1235714285717,stop_loss,14.55738206724397,-43.53281780990277,5.444467443971175,2.6164285714280595,False
short,2025-01-14 08:17:00+00:00,2668.92,2025-01-14 08:39:00+00:00,2668.92,stop_be,33.81311274721944,6.302439610197485,12.632903528243556,1.1199999999998909,True
short,2025-01-14 10:04:00+00:00,2668.74,2025-01-14 10:15:00+00:00,2670.8792857142857,stop_loss,17.71722132383979,-44.52442364183611,6.622225166903033,2.139285714285961,False
short,2025-01-14 13:33:00+00:00,2666.79,2025-01-14 13:51:00+00:00,2668.430714285714,stop_loss,22.965349107276857,-46.256340795480135,8.57676443875625,1.640714285714239,False
short,2025-01-17 10:01:00+00:00,2710.34,2025-01-17 10:44:00+00:00,2711.3678571428572,stop_loss,36.433365193778464,-51.27546901607496,13.827174363328465,1.0278571428571013,False
long,2025-01-20 15:36:00+00:00,2706.97,2025-01-21 03:56:00+00:00,2718.1471428571417,full_2r,6.654995428263924,53.26188859375921,2.5259873677399676,5.588571428570958,True
long,2025-01-21 09:23:00+00:00,2725.78,2025-01-21 09:39:00+00:00,2731.0285714285715,full_2r,14.273684662735569,50.73643762694475,5.450902499007607,2.6242857142856337,True
long,2025-01-22 12:32:00+00:00,2761.84,2025-01-22 12:51:00+00:00,2759.112857142857,stop_loss,13.828358437473694,-43.056108990517245,5.344200051747615,2.727142857143008,False
long,2025-01-31 12:04:00+00:00,2794.06,2025-01-31 12:13:00+00:00,2792.302142857143,stop_loss,21.330873527567885,-45.837967298210565,8.341338904393517,1.7578571428571195,False
long,2025-02-05 08:42:00+00:00,2860.1,2025-02-05 08:56:00+00:00,2860.1,stop_be,37.10840254641174,3.7736910210945847,14.860028257568414,1.0042857142857429,True
long,2025-02-07 15:01:00+00:00,2864.22,2025-02-07 15:12:00+00:00,2862.322142857143,stop_loss,19.646529852242452,-45.16177469361517,7.875467681183711,1.8978571428569921,False
long,2025-02-10 07:31:00+00:00,2878.78,2025-02-10 07:36:00+00:00,2877.5085714285715,stop_loss,29.1487064014286,-48.805683726096305,11.745185587132921,1.2714285714287143,False
short,2025-02-12 11:41:00+00:00,2889.81,2025-02-12 12:30:00+00:00,2889.81,stop_be,17.46038536872185,11.345515962672614,7.062718897493841,2.108571428571395,True
short,2025-02-12 14:59:00+00:00,2884.95,2025-02-12 15:10:00+00:00,2881.2757142857135,full_2r,20.070947208474713,47.207152555063445,8.102643395155962,1.8371428571431352,True
long,2025-02-13 13:49:00+00:00,2916.89,2025-02-13 15:00:00+00:00,2916.89,stop_be,15.329869072911386,12.293141856291761,6.26147467516903,2.4207142857139843,True
long,2025-02-13 14:59:00+00:00,2917.64,2025-02-13 15:00:00+00:00,2916.197857142857,stop_loss,25.780056259946015,-47.706290763816256,10.527766771798202,1.4421428571426986,False
long,2025-02-14 07:36:00+00:00,2928.24,2025-02-14 08:09:00+00:00,2932.7714285714283,full_2r,16.300452158177368,48.71194405613493,6.686306921441011,2.265714285714239,True
long,2025-02-14 11:01:00+00:00,2935.81,2025-02-14 11:37:00+00:00,2935.81,stop_be,18.56796926654449,10.954878189548008,7.63298532978431,2.002142857143099,True
long,2025-02-14 13:50:00+00:00,2931.79,2025-02-14 14:41:00+00:00,2928.453571428571,stop_loss,11.158788696521997,-41.80802681027298,4.577525380660598,3.336428571428769,False
long,2025-02-17 12:04:00+00:00,2902.22,2025-02-17 12:25:00+00:00,2901.0200000000004,stop_loss,30.85121774631721,-49.554052756750664,12.53259146118965,1.1999999999993634,False
long,2025-02-19 09:01:00+00:00,2931.75,2025-02-19 09:19:00+00:00,2935.7485714285713,full_2r,18.39341459252956,47.60719025767676,7.553346289989131,1.9992857142856337,True
long,2025-02-19 10:06:00+00:00,2935.16,2025-02-19 10:26:00+00:00,2938.671428571428,full_2r,21.080723261309895,46.851162846991954,8.666427627606511,1.7557142857140207,True
long,2025-02-20 12:40:00+00:00,2952.36,2025-02-20 12:41:00+00:00,2950.4371428571426,stop_loss,19.370124783138976,-45.24963700316953,8.003654205868935,1.9228571428575378,False
short,2025-02-21 13:16:00+00:00,2933.17,2025-02-21 13:28:00+00:00,2935.750714285714,stop_loss,14.344762927541552,-42.91291395237239,5.893179340087648,2.5807142857138388,False
short,2025-02-24 12:58:00+00:00,2937.59,2025-02-24 13:05:00+00:00,2939.807142857143,stop_loss,16.60026999340645,-43.63481660261618,6.829646560093296,2.2171428571427896,False
