TOP_CLOSEST_TO_696138_48
_docs_archive/backtest_artifacts/phantom-v2-validate-44Zqcx/phantom_v5_1_trades_A.csv|rows=3288|sum_net=2345.32|final_10k=12345.32|qty=(1435.3588605473471,5510.3170473393175,11405.597381820695)|conf=(None,None,None)
phantom_mql5_trade_log.20260126-20260130.csv|rows=7|sum_net=13.29|final_10k=10013.29|qty=(0.25,0.32,0.54)|conf=(1.0,1.0,1.0)
phantom_mt5_tester_export_new.csv|rows=0|sum_net=0.00|final_10k=10000.00|qty=(None,None,None)|conf=(None,None,None)
phantom_mql5_trade_log_v2.csv|rows=0|sum_net=0.00|final_10k=10000.00|qty=(None,None,None)|conf=(None,None,None)
phantom_mql5_trade_log_latest.csv|rows=0|sum_net=0.00|final_10k=10000.00|qty=(None,None,None)|conf=(None,None,None)
phantom_mt5_tester_export_20260515.csv|rows=7|sum_net=-41.57|final_10k=9958.43|qty=(0.27,0.36,0.61)|conf=(1.0,1.0,1.5)
phantom_mt5_tester_export_20260515_124037.csv|rows=7|sum_net=-41.57|final_10k=9958.43|qty=(0.27,0.36,0.61)|conf=(1.0,1.0,1.5)
phantom_mt5_export_20260515.csv|rows=7|sum_net=-41.57|final_10k=9958.43|qty=(0.27,0.36,0.61)|conf=(None,None,None)
phantom_mt5_export_20260515_124037.csv|rows=7|sum_net=-41.57|final_10k=9958.43|qty=(0.27,0.36,0.61)|conf=(None,None,None)
saved_runs/2026-06-16_6y/ftmo/phantom_p2_ftmo_v2_trades_US100_P2_FTMO_V2B.csv|rows=18|sum_net=-800.45|final_10k=9199.55|qty=(0.006941282196995734,0.7486925241825325,3.6164811175705918)|conf=(1.0,1.5,1.5)
saved_runs/2026-06-16_6y/reports/ftmo_monthly_metrics.csv|rows=3|sum_net=-800.45|final_10k=9199.55|qty=(None,None,None)|conf=(None,None,None)
saved_runs/2026-06-16_6y/reports/ftmo_yearly_metrics.csv|rows=1|sum_net=-800.45|final_10k=9199.55|qty=(None,None,None)|conf=(None,None,None)
phantom_mql5_trade_log._export_20260514T230142Z.csv|rows=153|sum_net=-1775.46|final_10k=8224.54|qty=(0.17,0.52,1.81)|conf=(1.0,1.0,1.0)
phantom_mql5_trade_log.csv|rows=153|sum_net=-1775.46|final_10k=8224.54|qty=(0.17,0.52,1.81)|conf=(1.0,1.0,1.0)
phantom_mt5_export_20260518_120212.csv|rows=7|sum_net=-1975.94|final_10k=8024.06|qty=(0.41,0.69,3.07)|conf=(None,None,None)
phantom_mt5_export_latest.csv|rows=7|sum_net=-1975.94|final_10k=8024.06|qty=(0.41,0.69,3.07)|conf=(None,None,None)
phantom_mt5_tester_export_20260518_120212.csv|rows=378|sum_net=-3048.57|final_10k=6951.43|qty=(0.07,0.49,1.76)|conf=(1.0,1.5,1.5)
phantom_mt5_tester_export_latest.csv|rows=378|sum_net=-3048.57|final_10k=6951.43|qty=(0.07,0.49,1.76)|conf=(1.0,1.5,1.5)
