branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test3,full,2015-01,-126.82,-0.2
p2_filter_test3,full,2015-02,-100.3,-0.155
p2_filter_test3,full,2015-03,-103.67,-0.158
p2_filter_test3,full,2015-04,-212.62,-0.319
p2_filter_test3,full,2015-05,-369.94,-0.536
p2_filter_test3,full,2015-06,-629.96,-0.903
p2_filter_test3,full,2015-07,-243.53,-0.341
p2_filter_test3,full,2015-08,-735.32,-1.017
p2_filter_test3,full,2015-09,-800.12,-1.106
p2_filter_test3,full,2015-10,-466.8,-0.645
p2_filter_test3,full,2015-11,-542.75,-0.735
p2_filter_test3,full,2015-12,-294.56,-0.399
p2_filter_test3,full,2016-01,-541.54,-0.723
p2_filter_test3,full,2016-02,-908.36,-1.213
p2_filter_test3,full,2016-03,-567.1,-0.757
p2_filter_test3,full,2016-04,-1001.19,-1.33
p2_filter_test3,full,2016-05,-957.48,-1.271
p2_filter_test3,full,2016-06,-287.19,-0.375
p2_filter_test3,full,2016-07,-670.58,-0.854
p2_filter_test3,full,2016-08,-687.55,-0.875
p2_filter_test3,full,2016-09,-741.0,-0.943
p2_filter_test3,full,2016-10,-266.83,-0.335
p2_filter_test3,full,2016-11,-888.88,-1.115
p2_filter_test3,full,2016-12,-723.57,-0.905
p2_filter_test3,full,2017-01,-996.68,-1.247
p2_filter_test3,full,2017-02,-224.19,-0.274
p2_filter_test3,full,2017-03,-298.18,-0.358
p2_filter_test3,full,2017-04,-618.43,-0.728
p2_filter_test3,full,2017-05,-564.29,-0.664
p2_filter_test3,full,2017-06,-787.55,-0.907
p2_filter_test3,full,2017-07,-916.52,-1.046
p2_filter_test3,full,2017-08,-836.1,-0.954
p2_filter_test3,full,2017-09,-603.64,-0.659
p2_filter_test3,full,2017-10,-908.17,-0.974
p2_filter_test3,full,2017-11,-478.87,-0.494
p2_filter_test3,full,2017-12,-349.55,-0.348
p2_filter_test3,full,2018-01,-594.48,-0.584
p2_filter_test3,full,2018-02,-507.01,-0.49
p2_filter_test3,full,2018-03,-552.97,-0.521
p2_filter_test3,full,2018-04,-1186.84,-1.104
p2_filter_test3,full,2018-05,-1047.61,-0.974
p2_filter_test3,full,2018-06,-834.76,-0.766
p2_filter_test3,full,2018-07,-833.62,-0.737
p2_filter_test3,full,2018-08,-1007.6,-0.843
p2_filter_test3,full,2018-09,-1321.99,-1.107
p2_filter_test3,full,2018-10,-499.1,-0.399
p2_filter_test3,full,2018-11,-1079.08,-0.834
p2_filter_test3,full,2018-12,-1036.24,-0.801
p2_filter_test3,full,2019-01,-887.27,-0.664
p2_filter_test3,full,2019-02,-620.62,-0.443
p2_filter_test3,full,2019-03,-301.24,-0.213
p2_filter_test3,full,2019-04,-801.01,-0.557
p2_filter_test3,full,2019-05,-650.75,-0.45
p2_filter_test3,full,2019-06,-844.44,-0.539
p2_filter_test3,full,2019-07,-3286.7,-2.06
p2_filter_test3,full,2019-08,-2920.16,-1.831
p2_filter_test3,full,2019-09,-3334.03,-1.988
p2_filter_test3,full,2019-10,-1650.18,-0.97
