branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test3,full,2022-12,20087.59,44.639,375632.18,-1198.29,-0.318
p2_filter_test3,full,2023-01,22985.91,51.08,398618.09,-26.95,-0.007
p2_filter_test3,full,2023-02,5227.81,11.617,403845.9,-4632.81,-1.134
p2_filter_test3,full,2023-03,14636.74,32.526,418482.64,-3498.6,-0.829
p2_filter_test3,full,2023-04,32730.65,72.735,451213.28,0.0,0.0
p2_filter_test3,full,2023-05,11681.45,25.959,462894.73,-223.52,-0.048
p2_filter_test3,full,2023-06,23522.61,52.272,486417.35,-1531.54,-0.314
p2_filter_test3,full,2023-07,22075.18,49.056,508492.52,0.0,0.0
p2_filter_test3,full,2023-08,10774.2,23.943,519266.72,0.0,0.0
p2_filter_test3,full,2023-09,16779.7,37.288,536046.42,-3771.74,-0.699
p2_filter_test3,full,2023-10,-1889.48,-4.199,534156.95,-5661.22,-1.049
p2_filter_test3,full,2023-11,-6110.29,-13.578,528046.66,-11771.5,-2.181
p2_filter_test3,full,2023-12,3931.89,8.738,531978.55,-7839.61,-1.452
p2_filter_test3,full,2024-01,28490.99,63.313,560469.54,-1.55,-0.0
p2_filter_test3,full,2024-02,31572.9,70.162,592042.44,0.0,0.0
p2_filter_test3,full,2024-03,2541.73,5.648,594584.17,-406.37,-0.068
p2_filter_test3,full,2024-04,1171.23,2.603,595755.4,-5118.86,-0.852
p2_filter_test3,full,2024-05,3432.82,7.628,599188.22,-1686.04,-0.281
p2_filter_test3,full,2024-06,18258.19,40.574,617446.4,0.0,0.0
p2_filter_test3,full,2024-07,21846.88,48.549,639293.28,-2272.44,-0.354
p2_filter_test3,full,2024-08,45384.64,100.855,684677.92,-523.98,-0.076
p2_filter_test3,full,2024-09,24802.45,55.117,709480.36,-3872.18,-0.543
p2_filter_test3,full,2024-10,33510.82,74.468,742991.19,0.0,0.0
p2_filter_test3,full,2024-11,2792.03,6.205,745783.21,-11180.76,-1.477
p2_filter_test3,full,2024-12,15397.54,34.217,761180.76,0.0,0.0
p2_filter_test3,full,2025-01,37626.9,83.615,798807.66,0.0,0.0
p2_filter_test3,full,2025-02,25096.22,55.769,823903.87,-3291.6,-0.398
p2_filter_test3,full,2025-03,19083.84,42.409,842987.71,-922.23,-0.109
p2_filter_test3,full,2025-04,53867.81,119.706,896855.52,-894.93,-0.1
p2_filter_test3,full,2025-05,22032.63,48.961,918888.15,-4719.77,-0.511
p2_filter_test3,full,2025-06,27157.1,60.349,946045.25,-1687.78,-0.178
p2_filter_test3,full,2025-07,64930.9,144.291,1010976.16,0.0,0.0
p2_filter_test3,full,2025-08,22034.0,48.964,1033010.16,-5761.21,-0.555
